,primary_photo,source,tags,list_date,price_reduced_amount,matterport,state,city,year_built,baths_3qtr,sold_price,baths_full,baths_half,lot_sqft,sqft,baths,sub_type,baths_1qtr,garage,stories,beds,type,brand_name
6548,{'href': 'https://ap.rdcpix.com/305d16002d1182cdc6376e1f77ef4944l-m1042713099s-w1024_h768.jpg'},"{'plan_id': None, 'agents': [{'office_name': None}, {'office_name': None}], 'spec_id': None, 'type': 'mls'}","basement, two_or_more_stories, medicalcare, shopping",2023-10-13T22:53:10.000000Z,,False,Rhode Island,Providence,1920.0,0.0,550000.0,3.0,0.0,3920.0,3116.0,3.0,other,0,0.0,3.0,7.0,multi_family,basic_opt_in
6549,{'href': 'https://ap.rdcpix.com/e63e61fb791dd861e3a6b4f8c9fc697el-b4244011025s-w1024_h768.jpg'},"{'plan_id': None, 'agents': [{'office_name': None}, {'office_name': None}], 'spec_id': None, 'type': 'mls'}",,2023-11-15T17:10:24.000000Z,,False,Rhode Island,Providence,,0.0,120000.0,0.0,0.0,3916.0,,0.0,other,0,0.0,0.0,0.0,land,basic_opt_in
6550,,"{'plan_id': None, 'agents': [{'office_name': 'Century 21 The Seyboth Team'}, {'office_name': 'Century 21 The Seyboth Team'}, {'office_name': None}], 'spec_id': None, 'type': 'mls'}",basement,2024-01-12T17:53:21.000000Z,,False,Rhode Island,Providence,1930.0,0.0,960000.0,4.0,0.0,4278.0,4278.0,4.0,other,0,0.0,0.0,9.0,multi_family,essentials
6551,{'href': 'https://ap.rdcpix.com/9fec1be83db37cbef711391a9e4715b1l-m3674558391s-w1024_h768.jpg'},"{'plan_id': None, 'agents': [{'office_name': None}, {'office_name': None}], 'spec_id': None, 'type': 'mls'}","forced_air, basement, two_or_more_stories, rental_property, investment_opportunity",2023-10-11T13:49:53.000000Z,15000.0,False,Rhode Island,Providence,1920.0,0.0,534000.0,3.0,0.0,3328.0,2634.0,3.0,other,0,0.0,3.0,7.0,multi_family,basic_opt_in
6552,{'href': 'https://ap.rdcpix.com/c88150255cb140caa44384bf1e66831al-b1703567733s-w1024_h768.jpg'},"{'plan_id': None, 'agents': [{'office_name': None}, {'office_name': None}], 'spec_id': None, 'type': 'mls'}","fireplace, forced_air, basement, two_or_more_stories, big_yard, investment_opportunity, lake, fixer_upper",2023-09-14T11:50:13.000000Z,,False,Rhode Island,Providence,1940.0,0.0,440000.0,2.0,0.0,12632.0,2400.0,2.0,other,0,0.0,2.0,6.0,multi_family,basic_opt_in
6553,{'href': 'https://ap.rdcpix.com/fd8fbe464b09b3982f1fbb5b83f8d30fl-b1741633360s-w1024_h768.jpg'},"{'plan_id': None, 'agents': [{'office_name': None}, {'office_name': None}], 'spec_id': None, 'type': 'mls'}","community_security_features, fireplace, forced_air, swimming_pool, basement, two_or_more_stories, garage_1_or_more, garage_2_or_more, exposed_brick, water_view, views",2023-03-22T18:22:38.000000Z,151000.0,True,Rhode Island,Providence,1974.0,0.0,2500000.0,4.0,1.0,22394.0,3303.0,5.0,other,0,2.0,2.0,3.0,single_family,essentials
6554,{'href': 'https://ap.rdcpix.com/1b2d3bfb3813b574dfc8ff22070284e0l-m849216681s-w1024_h768.jpg'},"{'plan_id': None, 'agents': [{'office_name': None}, {'office_name': None}], 'spec_id': None, 'type': 'mls'}","community_outdoor_space, dining_room, hardwood_floors, laundry_room, washer_dryer, basement, garage_1_or_more, garage_2_or_more, two_or_more_stories, granite_kitchen, modern_kitchen, open_floor_plan, floor_plan, master_suite",2023-10-18T20:46:03.000000Z,,False,Rhode Island,Providence,1854.0,0.0,330000.0,1.0,1.0,3400.0,1666.0,2.0,other,0,2.0,0.0,3.0,single_family,basic_opt_in
6555,{'href': 'https://ap.rdcpix.com/e5a8b54addcaa20e312942f72934c978l-m3512586335s-w1024_h768.jpg'},"{'plan_id': None, 'agents': [{'office_name': None}, {'office_name': None}], 'spec_id': None, 'type': 'mls'}","forced_air, pets_allowed, basement, single_story",2023-12-08T20:28:23.000000Z,,False,Rhode Island,Providence,1856.0,0.0,240000.0,1.0,1.0,,727.0,2.0,condo,0,0.0,1.0,1.0,condos,basic_opt_in
6556,{'href': 'https://ap.rdcpix.com/8df0cfd261fc034d9557235477070c6bl-b1012958641s-w1024_h768.jpg'},"{'plan_id': None, 'agents': [{'office_name': ""Mott & Chace Sotheby's Intl.""}, {'office_name': None}], 'spec_id': None, 'type': 'mls'}","community_security_features, corner_lot, disability_features, fireplace, forced_air, basement, single_story, garage_1_or_more, garage_2_or_more, fenced_yard, high_ceiling, floor_plan, ensuite, farm, ranch, shopping",2023-11-14T11:28:26.000000Z,,False,Rhode Island,Providence,1983.0,0.0,1325000.0,2.0,0.0,7876.0,4952.0,2.0,other,0,2.0,1.0,2.0,single_family,essentials
6557,{'href': 'https://ap.rdcpix.com/7abdbc619fcd398d2c3fa5273be1a977l-m1137111706s-w1024_h768.jpg'},"{'plan_id': None, 'agents': [{'office_name': None}, {'office_name': None}], 'spec_id': None, 'type': 'mls'}","community_security_features, fireplace, basement, two_or_more_stories, garage_1_or_more, garage_2_or_more, ensuite, shopping",2023-10-26T08:59:16.000000Z,,False,Rhode Island,Providence,1928.0,0.0,1410000.0,3.0,1.0,6098.0,3212.0,4.0,other,0,2.0,3.0,5.0,single_family,essentials
